epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,2126.62,0.93391,0.68776,1.16315,0.89019,0.71914,0.82552,0.50968,1.51595,1.01012,1.69,0.00129293,0.00129293,0.00129293
138,2141.84,0.92929,0.68625,1.1571,0.82856,0.8093,0.84985,0.49464,1.52858,1.0513,1.68686,0.00129017,0.00129017,0.00129017
139,2157.25,0.93929,0.70884,1.16779,0.89994,0.70619,0.83824,0.4959,1.42146,0.97197,1.64025,0.00128742,0.00128742,0.00128742
140,2172.74,0.91693,0.67832,1.14872,0.8401,0.79251,0.83296,0.49732,1.52553,1.05179,1.74149,0.00128467,0.00128467,0.00128467
141,2188.05,0.93595,0.68748,1.15374,0.86916,0.69315,0.83355,0.5044,1.48404,1.04221,1.69063,0.00128192,0.00128192,0.00128192
142,2203.37,0.93142,0.68833,1.15358,0.87397,0.69861,0.81187,0.48102,1.56015,1.16285,1.73197,0.00127917,0.00127917,0.00127917
143,2218.74,0.91841,0.69416,1.15382,0.90891,0.76528,0.84631,0.51584,1.46568,0.96648,1.70143,0.00127642,0.00127642,0.00127642
144,2234.09,0.91049,0.67511,1.14946,0.89898,0.732,0.81126,0.50825,1.45952,1.01804,1.68691,0.00127367,0.00127367,0.00127367
145,2249.37,0.91838,0.67188,1.156,0.76836,0.7325,0.82836,0.48039,1.45139,1.00739,1.65103,0.00127092,0.00127092,0.00127092
146,2264.66,0.93457,0.68533,1.16136,0.83244,0.74061,0.8435,0.51371,1.40302,0.95904,1.6198,0.00126817,0.00126817,0.00126817
147,2280.07,0.91106,0.67079,1.1339,0.93198,0.6669,0.82032,0.5097,1.40597,0.9915,1.58824,0.00126542,0.00126542,0.00126542
148,2295.54,0.91076,0.67141,1.15207,0.79477,0.8048,0.84802,0.53314,1.38524,0.99171,1.56241,0.00126267,0.00126267,0.00126267
149,2310.88,0.88311,0.65638,1.13207,0.85231,0.74721,0.79685,0.50386,1.46546,1.0552,1.65568,0.00125992,0.00125992,0.00125992
150,2326.21,0.88276,0.64406,1.13259,0.92725,0.72663,0.82752,0.49532,1.40871,0.98082,1.60399,0.00125717,0.00125717,0.00125717
151,2341.58,0.87237,0.65873,1.11989,0.88792,0.6802,0.80866,0.4869,1.46391,1.05597,1.66801,0.00125442,0.00125442,0.00125442
152,2356.95,0.87464,0.6497,1.12742,0.76781,0.79251,0.84888,0.53514,1.50577,0.94647,1.7279,0.00125167,0.00125167,0.00125167
153,2372.26,0.89275,0.64762,1.12395,0.87713,0.69136,0.80356,0.49555,1.43638,1.03174,1.6226,0.00124892,0.00124892,0.00124892
154,2387.5,0.89324,0.65892,1.13722,0.89745,0.67965,0.821,0.51658,1.38326,1.00779,1.61327,0.00124617,0.00124617,0.00124617
155,2402.88,0.86937,0.62964,1.11739,0.93,0.72517,0.84868,0.51782,1.43509,0.9267,1.69102,0.00124342,0.00124342,0.00124342
156,2418.31,0.88817,0.64903,1.13887,0.90444,0.7432,0.86961,0.52203,1.42315,0.89352,1.67611,0.00124066,0.00124066,0.00124066
157,2433.59,0.86882,0.64131,1.11855,0.8813,0.71647,0.84329,0.5335,1.39354,0.97769,1.63585,0.00123791,0.00123791,0.00123791
158,2448.93,0.88423,0.65033,1.13067,0.83962,0.74804,0.82119,0.50393,1.45113,1.01936,1.7116,0.00123516,0.00123516,0.00123516
159,2464.32,0.86782,0.63068,1.10818,0.92171,0.68394,0.84177,0.52948,1.37342,0.93199,1.60764,0.00123241,0.00123241,0.00123241
160,2479.7,0.8726,0.63421,1.11663,0.83176,0.76662,0.83856,0.52524,1.4091,1.01491,1.61302,0.00122966,0.00122966,0.00122966
161,2494.99,0.88619,0.65855,1.12646,0.96801,0.70109,0.82537,0.49914,1.41006,0.96161,1.65699,0.00122691,0.00122691,0.00122691
162,2510.35,0.8489,0.62667,1.10182,0.87355,0.75642,0.82561,0.51654,1.44225,1.07188,1.66861,0.00122416,0.00122416,0.00122416
163,2525.71,0.87644,0.65092,1.13193,0.93741,0.66221,0.80097,0.52905,1.36575,0.98417,1.6196,0.00122141,0.00122141,0.00122141
164,2541.05,0.8704,0.63014,1.13028,0.85553,0.78628,0.87343,0.56018,1.40442,0.93147,1.62755,0.00121866,0.00121866,0.00121866
165,2556.45,0.87461,0.62588,1.11717,0.84846,0.76422,0.85119,0.55633,1.36469,0.86403,1.59479,0.00121591,0.00121591,0.00121591
166,2571.9,0.85234,0.62101,1.09828,0.87511,0.76519,0.84032,0.54324,1.38796,0.97477,1.65446,0.00121316,0.00121316,0.00121316
167,2587.24,0.84321,0.61783,1.10462,0.80823,0.77617,0.82643,0.5047,1.37488,0.96807,1.60785,0.00121041,0.00121041,0.00121041
168,2602.54,0.85616,0.61984,1.09683,0.88477,0.73033,0.82805,0.49717,1.40451,0.99742,1.62025,0.00120766,0.00120766,0.00120766
169,2617.74,0.85194,0.62976,1.10891,0.89693,0.75602,0.82053,0.54229,1.35226,1.03506,1.59551,0.00120491,0.00120491,0.00120491
170,2633.07,0.83611,0.62003,1.09783,0.93841,0.70613,0.82702,0.54868,1.31782,0.89608,1.56698,0.00120216,0.00120216,0.00120216
171,2648.57,0.85948,0.62469,1.10882,0.93511,0.72615,0.8461,0.55267,1.38953,1.00488,1.60645,0.00119941,0.00119941,0.00119941
172,2664.02,0.82316,0.60678,1.09621,0.85331,0.70883,0.81057,0.50661,1.43412,1.18236,1.63799,0.00119666,0.00119666,0.00119666
173,2679.34,0.83604,0.61459,1.09959,0.85768,0.73996,0.79615,0.52158,1.3793,1.05328,1.59795,0.00119391,0.00119391,0.00119391
174,2694.7,0.85266,0.62766,1.10962,0.93684,0.72895,0.84777,0.5631,1.38304,0.92863,1.64089,0.00119115,0.00119115,0.00119115
175,2710.25,0.83185,0.60579,1.09746,0.83836,0.77056,0.81627,0.51263,1.39324,1.00639,1.61322,0.0011884,0.0011884,0.0011884
176,2725.62,0.83501,0.6194,1.10604,0.87916,0.71508,0.80369,0.51958,1.34854,1.00599,1.60773,0.00118565,0.00118565,0.00118565
177,2740.92,0.82518,0.61412,1.10175,0.89689,0.78004,0.86466,0.54975,1.34468,0.94296,1.60949,0.0011829,0.0011829,0.0011829
178,2756.25,0.83048,0.59548,1.09396,0.88826,0.79481,0.86695,0.56644,1.33796,0.91384,1.55206,0.00118015,0.00118015,0.00118015
179,2771.75,0.82269,0.5927,1.09159,0.86858,0.72113,0.80911,0.54636,1.37973,0.97869,1.63416,0.0011774,0.0011774,0.0011774
